"Hakai.Net.ID","Net_sizefrac","Date","screen_size","Net.Mesh.Size","Flow.Meter.Volume","Depth.Volume","Flow.Meter.Ratio","Weight.Before..mg.","Weight.After..mg.","Weight.Before.Flag","Weight.After.Flag","missing.weight","Biomass.Weight.mg","Plankton.Isotope.ID","event_pk","Hakai.ID","Biomass.mg.m3","Volume.flag"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_64",2017-07-12,"64","64 um",-34296.60713,49.0625,-699.0391262,130.6,194.4,NA,NA,NA,63.8,NA,NA,NA,1.3003821656051,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_125",2017-07-12,"125","64 um",-34296.60713,49.0625,-699.0391262,129.4,215.4,NA,NA,NA,86,NA,NA,NA,1.75286624203822,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_250",2017-07-12,"250","64 um",-34296.60713,49.0625,-699.0391262,129.7,281.8,NA,NA,NA,152.1,NA,NA,NA,3.10012738853503,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_500",2017-07-12,"500","64 um",-34296.60713,49.0625,-699.0391262,130.6,368,NA,NA,NA,237.4,NA,NA,NA,4.83872611464968,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_1000",2017-07-12,"1000","64 um",-34296.60713,49.0625,-699.0391262,130.9,481.5,NA,NA,NA,350.6,NA,NA,NA,7.1459872611465,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_2000",2017-07-12,"2000","64 um",-34296.60713,49.0625,-699.0391262,261.8,518.6,NA,NA,NA,256.8,NA,NA,NA,5.23414012738853,"Depth volume used"
"2017-07-12_QU39_4_64_1","2017-07-12_QU39_4_64_1_4000",2017-07-12,"4000","64 um",-34296.60713,49.0625,-699.0391262,0,0,NA,NA,NA,0,NA,NA,NA,0,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_64",2020-12-01,"64","64 um",5.801214676,48.10065279,0.120605737,127.6,229.2,NA,NA,NA,101.6,NA,NA,NA,2.11223744599829,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_125",2020-12-01,"125","64 um",5.801214676,48.10065279,0.120605737,127.1,202.1,NA,NA,NA,75,NA,NA,NA,1.55923039812866,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_250",2020-12-01,"250","64 um",5.801214676,48.10065279,0.120605737,125.6,196.7,NA,NA,NA,71.1,NA,NA,NA,1.47815041742597,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_500",2020-12-01,"500","64 um",5.801214676,48.10065279,0.120605737,127.1,214.5,NA,NA,NA,87.4,NA,NA,NA,1.81702315728593,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_1000",2020-12-01,"1000","64 um",5.801214676,48.10065279,0.120605737,126.3,241.8,NA,NA,NA,115.5,NA,NA,NA,2.40121481311813,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_2000",2020-12-01,"2000","64 um",5.801214676,48.10065279,0.120605737,127.2,224.1,NA,NA,NA,96.9,NA,NA,NA,2.01452567438223,"Depth volume used"
"2020-12-01_QU39_6_64_3","2020-12-01_QU39_6_64_3_4000",2020-12-01,"4000","64 um",5.801214676,48.10065279,0.120605737,0,0,NA,NA,NA,0,NA,NA,NA,0,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_64",2019-11-20,"64","64 um",5.748476361,47.22411861,0.121727552,124.4,221.6,NA,NA,NA,97.2,NA,NA,NA,2.05827028351181,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_125",2019-11-20,"125","64 um",5.748476361,47.22411861,0.121727552,122.5,267.4,NA,NA,NA,144.9,NA,NA,NA,3.06834736708705,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_250",2019-11-20,"250","64 um",5.748476361,47.22411861,0.121727552,123.3,289.3,NA,NA,NA,166,NA,NA,NA,3.51515295332264,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_500",2019-11-20,"500","64 um",5.748476361,47.22411861,0.121727552,122.1,231.2,NA,NA,NA,109.1,NA,NA,NA,2.3102601639006,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_1000",2019-11-20,"1000","64 um",5.748476361,47.22411861,0.121727552,124,343.2,NA,NA,NA,219.2,NA,NA,NA,4.64169594800194,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_2000",2019-11-20,"2000","64 um",5.748476361,47.22411861,0.121727552,249,469.5,NA,NA,NA,220.5,NA,NA,NA,4.6692242542629,"Depth volume used"
"2019-11-20_QU39_5_64_3","2019-11-20_QU39_5_64_3_4000",2019-11-20,"4000","64 um",5.748476361,47.22411861,0.121727552,0,0,NA,NA,NA,0,NA,NA,NA,0,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_64",2020-11-19,"64","64 um",5.959429622,47.88095444,0.124463468,127.1,210.9,NA,NA,NA,83.8,NA,NA,NA,1.75017396750122,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_125",2020-11-19,"125","64 um",5.959429622,47.88095444,0.124463468,127.5,208.3,NA,NA,NA,80.8,NA,NA,NA,1.68751857486991,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_250",2020-11-19,"250","64 um",5.959429622,47.88095444,0.124463468,128,196.3,NA,NA,NA,68.3,NA,NA,NA,1.42645443890613,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_500",2020-11-19,"500","64 um",5.959429622,47.88095444,0.124463468,129.4,216.3,NA,NA,NA,86.9,NA,NA,NA,1.81491787322024,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_1000",2020-11-19,"1000","64 um",5.959429622,47.88095444,0.124463468,127.2,246.5,NA,NA,NA,119.3,NA,NA,NA,2.49159611363837,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_2000",2020-11-19,"2000","64 um",5.959429622,47.88095444,0.124463468,127.8,237.3,NA,NA,NA,109.5,NA,NA,NA,2.28692183104277,"Depth volume used"
"2020-11-19_QU39_3_64_3","2020-11-19_QU39_3_64_3_4000",2020-11-19,"4000","64 um",5.959429622,47.88095444,0.124463468,126.4,136.6,NA,NA,NA,10.2,NA,NA,NA,0.213028334946449,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_64",2021-01-27,"64","64 um",6.012167937,47.76159788,0.125878702,127.9,162.1,NA,NA,NA,34.2,NA,NA,NA,0.71605644530417,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_125",2021-01-27,"125","64 um",6.012167937,47.76159788,0.125878702,126.4,174.9,NA,NA,NA,48.5,NA,NA,NA,1.01546016366235,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_250",2021-01-27,"250","64 um",6.012167937,47.76159788,0.125878702,126.5,164.9,NA,NA,NA,38.4,NA,NA,NA,0.803993201745034,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_500",2021-01-27,"500","64 um",6.012167937,47.76159788,0.125878702,125.1,179.7,NA,NA,NA,54.6,NA,NA,NA,1.14317783373122,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_1000",2021-01-27,"1000","64 um",6.012167937,47.76159788,0.125878702,126,177.3,NA,NA,NA,51.3,NA,NA,NA,1.07408466795626,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_2000",2021-01-27,"2000","64 um",6.012167937,47.76159788,0.125878702,126,198.6,NA,NA,NA,72.6,NA,NA,NA,1.5200496470492,"Depth volume used"
"2021-01-27_QU39_5_64_3","2021-01-27_QU39_5_64_3_4000",2021-01-27,"4000","64 um",6.012167937,47.76159788,0.125878702,126.4,226,NA,NA,NA,99.6,NA,NA,NA,2.08535736702618,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_64",2019-11-05,"64","64 um",6.223121198,48.35826117,0.128687861,122.9,175,NA,NA,NA,52.1,NA,NA,NA,1.07737537991381,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_125",2019-11-05,"125","64 um",6.223121198,48.35826117,0.128687861,122.3,223.7,NA,NA,NA,101.4,NA,NA,NA,2.09684958777851,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_250",2019-11-05,"250","64 um",6.223121198,48.35826117,0.128687861,121.8,282.1,NA,NA,NA,160.3,NA,NA,NA,3.31484209981159,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_500",2019-11-05,"500","64 um",6.223121198,48.35826117,0.128687861,122.1,256.4,NA,NA,NA,134.3,NA,NA,NA,2.77718835935556,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_1000",2019-11-05,"1000","64 um",6.223121198,48.35826117,0.128687861,122.4,253.9,NA,NA,NA,131.5,NA,NA,NA,2.71928718730645,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_2000",2019-11-05,"2000","64 um",6.223121198,48.35826117,0.128687861,121.8,248.5,NA,NA,NA,126.7,NA,NA,NA,2.62002803522226,"Depth volume used"
"2019-11-05_QU39_5_64_3","2019-11-05_QU39_5_64_3_4000",2019-11-05,"4000","64 um",6.223121198,48.35826117,0.128687861,34.2,58.7,NA,NA,NA,24.5,NA,NA,NA,0.506635255429719,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_64",2021-02-10,"64","64 um",6.223121198,48.24985467,0.128976994,127.6,244.6,NA,NA,NA,117,NA,NA,NA,2.42487777010334,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_125",2021-02-10,"125","64 um",6.223121198,48.24985467,0.128976994,127.3,191.1,NA,NA,NA,63.8,NA,NA,NA,1.32228377549225,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_250",2021-02-10,"250","64 um",6.223121198,48.24985467,0.128976994,127.7,175.1,NA,NA,NA,47.4,NA,NA,NA,0.982386378657252,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_500",2021-02-10,"500","64 um",6.223121198,48.24985467,0.128976994,128,187.1,NA,NA,NA,59.1,NA,NA,NA,1.22487415566759,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_1000",2021-02-10,"1000","64 um",6.223121198,48.24985467,0.128976994,128.6,182.6,NA,NA,NA,54,NA,NA,NA,1.11917435543231,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_2000",2021-02-10,"2000","64 um",6.223121198,48.24985467,0.128976994,129,212.3,NA,NA,NA,83.3,NA,NA,NA,1.72643007050947,"Depth volume used"
"2021-02-10_QU39_3_64_3","2021-02-10_QU39_3_64_3_4000",2021-02-10,"4000","64 um",6.223121198,48.24985467,0.128976994,0,0,NA,NA,NA,0,NA,NA,NA,0,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_64",2020-11-05,"64","64 um",6.223121198,48.24154777,0.128999203,35.3,69,NA,NA,NA,33.7,NA,NA,NA,0.698567968023552,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_125",2020-11-05,"125","64 um",6.223121198,48.24154777,0.128999203,35.1,93.7,NA,NA,NA,58.6,NA,NA,NA,1.21472056160772,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_250",2020-11-05,"250","64 um",6.223121198,48.24154777,0.128999203,34.4,75.4,NA,NA,NA,41,NA,NA,NA,0.84988981272895,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_500",2020-11-05,"500","64 um",6.223121198,48.24154777,0.128999203,34.5,96.7,NA,NA,NA,62.2,NA,NA,NA,1.28934503296929,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_1000",2020-11-05,"1000","64 um",6.223121198,48.24154777,0.128999203,33.8,112,NA,NA,NA,78.2,NA,NA,NA,1.6210093501318,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_2000",2020-11-05,"2000","64 um",6.223121198,48.24154777,0.128999203,129.3,221.4,NA,NA,NA,92.1,NA,NA,NA,1.90914272566674,"Depth volume used"
"2020-11-05_QU39_3_64_3","2020-11-05_QU39_3_64_3_4000",2020-11-05,"4000","64 um",6.223121198,48.24154777,0.128999203,36.5,67.8,NA,NA,NA,31.3,NA,NA,NA,0.648818320449174,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_64",2021-01-13,"64","64 um",6.328597829,48.33044548,0.130944331,126.6,211.2,NA,NA,NA,84.6,NA,NA,NA,1.75044941464504,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_125",2021-01-13,"125","64 um",6.328597829,48.33044548,0.130944331,127.7,184.2,NA,NA,NA,56.5,NA,NA,NA,1.16903536557263,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_250",2021-01-13,"250","64 um",6.328597829,48.33044548,0.130944331,126.7,163.7,NA,NA,NA,37,NA,NA,NA,0.765562982764379,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_500",2021-01-13,"500","64 um",6.328597829,48.33044548,0.130944331,126.5,186.7,NA,NA,NA,60.2,NA,NA,NA,1.24559166384907,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_1000",2021-01-13,"1000","64 um",6.328597829,48.33044548,0.130944331,127,197.9,NA,NA,NA,70.9,NA,NA,NA,1.46698420210796,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_2000",2021-01-13,"2000","64 um",6.328597829,48.33044548,0.130944331,126.5,167.5,NA,NA,NA,41,NA,NA,NA,0.848326548468636,"Depth volume used"
"2021-01-13_QU39_3_64_3","2021-01-13_QU39_3_64_3_4000",2021-01-13,"4000","64 um",6.328597829,48.33044548,0.130944331,126.5,226.3,NA,NA,NA,99.8,NA,NA,NA,2.06495096432122,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_64",2020-12-17,"64","64 um",8.016223916,49.68441866,0.161342814,0,0,NA,NA,NA,0,NA,NA,NA,0,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_125",2020-12-17,"125","64 um",8.016223916,49.68441866,0.161342814,128.2,209,NA,NA,NA,80.8,NA,NA,NA,1.6262643738056,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_250",2020-12-17,"250","64 um",8.016223916,49.68441866,0.161342814,126.7,179,NA,NA,NA,52.3,NA,NA,NA,1.0526438954212,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_500",2020-12-17,"500","64 um",8.016223916,49.68441866,0.161342814,125.4,213.1,NA,NA,NA,87.7,NA,NA,NA,1.76514091067761,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_1000",2020-12-17,"1000","64 um",8.016223916,49.68441866,0.161342814,127.4,233.9,NA,NA,NA,106.5,NA,NA,NA,2.14352915606802,"Depth volume used"
"2020-12-17_QU39_6_64_3","2020-12-17_QU39_6_64_3_2000",2020-12-17,"2000","64 um",8.016223916,49.68441866,0.161342814,126.1,175.1,NA,NA,NA,49,NA,NA,NA,0.986224682134582,"Depth volume used"
