Date,Volume.filtered_mL,Sample.dryweight_g,Sample.wetweight_g,C10.0_PERCENT,C11.0_PERCENT,C12.0_PERCENT,C13.0_PERCENT,C14.0_PERCENT,C14.1_PERCENT,C15.0_PERCENT,C16.0_PERCENT,C16.1n.7_PERCENT,C16.1n.9_PERCENT,C17.0_PERCENT,C18.0_PERCENT,C16.3n.4_PERCENT,C18.1n.7_PERCENT,C18.1n.7t_PERCENT,C18.1n.9c_PERCENT,C18.1n.9t_PERCENT,C18.2n.6c_and_C16.4n.1_PERCENT,C18.2n.6t_PERCENT,C18.3n.3_PERCENT,C18.3n.6_PERCENT,C18.4n.3_PERCENT,C20.0_PERCENT,C20.1n.9_PERCENT,C20.3n.3_PERCENT,C20.4n.6_PERCENT,C20.5n.3_PERCENT,C22.0_PERCENT,C22.1n.9_PERCENT,C22.2n.6_PERCENT,C22.4n.6_PERCENT,C22.5n.3_PERCENT,C22.5n.6._PERCENT,C22.6n.3_PERCENT,C23.0_PERCENT,C24.0_PERCENT,C24.1n.9_PERCENT,C16.2n.4_PERCENT,C20.4n.3_PERCENT,C22.1n.11_PERCENT,TotalFA_ug,Ratio16.1,Diatom.Flag,DHA.EPA,Terr_18.2n6_18.3n3,River.C22C24,Bacteria_15_17,Carn18.1N9_n7,percent.SFA,percent.MUFA,percent.PUFA,PUFA.SFA,percent.n3_PUFA,percent.n6_PUFA,n3.n6,EFA.ug.L,HUFA.ug.L,Prop.EFA,Prop.HUFA,C.N,delta15n,delta13c,POC_ug.L,PN_ug.L,chl_20um,chl_GF.F,chl_3um,phaeo.chla,NO3,PO4,Si,SST,SSS,log10.N2,Rain2Day,WindSp2Day,WindDir2Day,Bacillariophyta,Chlorophyta,Ciliophora,Cryptophyta,Dinoflagellata
3/13/15,7180,0.2208,2.3867,0.000661029,0.000302715,0.002532696,0.002218135,0.11686792,0.000958052,0.007654739,0.185881985,0.144429705,0.027409924,0.004539792,0.087531458,0.035124699,0.038098551,0.001455888,0.018196223,0.001999423,0.047303633,0.000982935,0.005342809,0.016946308,0.027431029,0.004715787,0.002936549,0.000939553,0.004492692,0.095174797,0.002335175,0.006628728,0,0,0.002455325,0.000688247,0.064568689,0.00212458,0.001918275,0.004550621,0.024486118,0.002202475,0,319.0547417,0.776996788,2.618062544,0.678422132,0.052646443,0.00425345,0.012194531,0.477609308,0.419284287,0.215798428,0.3249539,0.775020459,0.195912202,0.022127247,8.853889554,9.507490225,7.298096263,0.213956324,0.164236177,4.668340464,6.581792666,-20.28837903,347.2463743,72.25927606,6.092060633,0.125988387,0.414669088,0.492431545,5.659312683,0.5835,13.30681115,9.064266667,27.24873333,-3.467157982,5.6,1.2891875,172.90625,NA,NA,NA,NA,NA
3/18/15,9700,0.0601,1.7239,0.001196179,0,0.007492738,0.001200368,0.058868333,0.001222192,0.006423575,0.222825873,0.053177268,0.010518561,0.005189778,0.284668376,0.016085238,0.023677217,0.00383831,0.038396173,0.004287184,0.026585436,0.002264081,0.003934134,0.001742443,0.013054882,0.009523493,0.005492162,0.000427634,0.001910969,0.077898294,0.011823637,0.007258839,0,0.000951862,0.00503731,0.000543606,0.064429273,0.008386833,0.003213907,0.002488851,0.008513475,0.002183291,0.000851187,672.6700563,0.238649429,1.871968544,0.827094788,0.030519569,0.015037544,0.011613352,1.621650566,0.620813091,0.131712702,0.221114556,0.356169287,0.164781526,0.005148881,32.00336814,11.30155005,10.00257152,0.162969995,0.144238535,4.679093449,6.97326223,-18.86415054,269.2198299,30.02808319,3.372134511,0.054044538,0.18225023,0.645726846,5.965088433,0.6375,12.36059921,9.03445,27.4909,-3.430236645,0,0.73175,198.6618333,NA,NA,NA,NA,NA
3/24/15,9400,0.0478,1.3067,0.00078646,0,0.005638653,0.000866312,0.064467919,0,0.004985424,0.174555824,0.060808708,0.010142511,0.007548271,0.366630441,0.007689729,0.021356391,0.005431526,0.021610173,0.003467682,0.028911725,0.001086166,0.006468022,0.000929769,0.014355804,0.014840767,0.007840759,0.000978514,0.002905,0.072727892,0.003140214,0.003522921,0,0,0.002419756,0,0.065627078,0.002214363,0.001529646,0.003362886,0.007284766,0.002011276,0,226.7020094,0.348362526,1.69958746,0.902364638,0.035379747,0.00466986,0.012533695,1.011883164,0.647204295,0.118501838,0.210298055,0.324933034,0.162577066,0.003834769,42.39552558,3.931436453,3.406799893,0.163013565,0.14125997,4.630664624,4.372459711,-21.10686429,114.7004412,20.58688611,1.628918658,0.050866055,0.147145453,0.589181851,12.38150814,1.3945,19.7124083,9.183266667,27.82856667,-3.842587782,15.2,0.870125,161.8585417,NA,NA,NA,NA,NA
3/31/15,9800,0.034,1.1381,0.001366834,0,0.005421216,0.001389873,0.078126461,0.001995595,0.005156793,0.197159509,0.078135835,0.01370159,0.007056042,0.211443212,0.008340707,0.02244942,0.002616349,0.043657304,0.001655496,0.028541437,0.015681686,0.020089877,0.001639099,0.050941356,0.010282992,0.002197906,0.000554535,0.002196742,0.079688624,0.004048053,0.028311711,0,0,0.0016506,0.001788912,0.055282998,0.001870184,0.002777707,0.002460568,0.005853968,0.00284818,0,200.2670455,0.396307718,1.344389661,0.693737643,0.048631314,0.006825761,0.012212835,1.944696307,0.526098877,0.179208338,0.256568856,0.487681816,0.20820799,0.005624753,37.01637698,4.288140375,2.803092149,0.209838696,0.137168364,5.30176003,4.396508892,-22.67433907,61.73125373,12.49414212,0.06183726,0.083173532,0.052108691,1.106602416,15.01576731,1.558064195,25.41880955,9.53095,27.7071,-3.760018285,34,1.933395833,169.04375,NA,NA,NA,NA,NA
4/6/15,10000,0.0226,0.6044,0.001460003,0,0.005420212,0.000781469,0.07836966,0.0004421,0.004258679,0.166663443,0.053702659,0.010105335,0.006471673,0.154445466,0.008107502,0.021146488,0.001282507,0.099032081,0,0.060867101,0.00286093,0.024155594,0.001049663,0.072773006,0.006791105,0,0.000892053,0.002228664,0.098313111,0.002552844,0.006388555,0,0,0.001697641,0.001458974,0.087157644,0.002216972,0.002540272,0.00180647,0.008916053,0.002283974,0,237.7777055,0.322222183,0.913055314,0.88653124,0.085022695,0.005093116,0.010730351,4.683145523,0.431971798,0.182518353,0.367617006,0.851020848,0.284989049,0.004737302,60.15851905,6.792778373,4.463073707,0.285677682,0.187699419,4.512997306,2.097053091,-22.92329542,149.7845381,21.18796762,0.063135134,0.249125921,0.890468098,0.542339257,13.42784574,1.3095,23.8815,9.81135,27.2023,-3.533409293,0,1.437375,190.890625,NA,NA,NA,NA,NA
4/14/15,9500,0.0891,2.2322,0.000973513,0.000217465,0.000444613,0.002724735,0.152573033,0.001242036,0.00801342,0.153425651,0.172131263,0.029667859,0.003989075,0.077242418,0.035572052,0.034632552,0.001392809,0.040455981,0.001898393,0.056500366,0.002312038,0.009310935,0.005241562,0.038199518,0.003702461,0.001428182,0.000413988,0.002259599,0.057972195,0.001293393,0.004642971,0,0.0025782,0.002155363,0.000698089,0.053539868,0.001302159,0.00208992,0.000948932,0.028838159,0.002382793,0,495.4334071,1.121919717,2.77080113,0.923543916,0.065811301,0.003383312,0.012002495,1.168148991,0.407991855,0.255481917,0.293279894,0.71883762,0.161591866,0.01077745,14.9935155,8.684357087,5.933292818,0.166523676,0.113771661,4.528536167,7.422307596,-20.27746321,488.8179268,96.7194346,6.265704967,0.106277197,0.76690574,0.780525167,1.029954068,0.156232411,4.569058507,10.03733333,26.91766667,-3.318527179,3.2,2.965229167,178.6066667,NA,NA,NA,NA,NA
4/22/15,7500,0.076,2.112,0.00102214,0,0.007959033,0.002172646,0.147896001,0,0.00673869,0.200545875,0.096559667,0.015054138,0.006028601,0.118905259,0.012583532,0.03272847,0,0.045944446,0,0.050160283,0,0.008155051,0.001537755,0.016835469,0.007224625,0.005055896,0.001379297,0.003953234,0.092703964,0.005064415,0.014002251,0,0,0.002752059,0,0.067717521,0.002114852,0.001969674,0.002924838,0.016136428,0.002259993,0.001354249,181.1819094,0.481484183,2.312926412,0.730470615,0.058315333,0.007034089,0.012767291,1.40380673,0.507641811,0.197215568,0.273914593,0.539582412,0.18954336,0.005490989,34.51898065,4.611755855,3.970896726,0.190902994,0.164374719,4.815267304,7.360900543,-19.24183499,408.0829782,56.952038,5.833273609,0.092805963,0.346643948,0.366672923,1.450860461,0.1155,8.2525,10.30085,27.7974,-3.274736599,7.2,1.453875,235.585,NA,NA,NA,NA,NA
5/1/15,8950,0.0562,1.2595,0.001592919,0.00076394,0.007335814,0.002902687,0.183097558,0.000937518,0.006333019,0.155332169,0.120630903,0.016410462,0.004667141,0.080999685,0.023294553,0.030956687,0.001073926,0.038148966,0.001550072,0.071687528,0.002277061,0.004319689,0.006643675,0.010943232,0.004197392,0.001480517,0.000812142,0.008256234,0.108462788,0.002814277,0.009887132,0,0,0.002818614,0.001944674,0.054560445,0.000996404,0.001088628,0.001710328,0.021801014,0.002330272,0,408.3884023,0.776599619,3.585718211,0.503033762,0.076007217,0.003902905,0.01100016,1.232333642,0.452121633,0.203752051,0.315544588,0.697919685,0.181916909,0.016844584,10.79972709,8.815077945,7.815480227,0.193186063,0.171279467,5.122404398,7.063315328,-18.99534846,266.3598561,50.1449187,5.797430292,1.349505018,1.00623436,0.381000357,0.478000021,0.138332452,5.19983958,10.6507,27.7602,-3.758987274,3.6,1.452020833,191.31,NA,NA,NA,NA,NA
5/5/15,6800,0.2104,2.1115,0.000938131,0.000284149,0.006208456,0.001875671,0.171123478,0.000864731,0.00664371,0.162020941,0.135212357,0.011359086,0.003972247,0.068132194,0.019176658,0.026588335,0.00073104,0.041093097,0.001392054,0.048538256,0.002024846,0.005209623,0.009858702,0.012535476,0.010511585,0.001686123,0.000966413,0.010930663,0.123562855,0.002971441,0.013221089,0,0,0.003822122,0.002994059,0.064552541,0.001068911,0.001184234,0.001432941,0.018068314,0.00286776,0,382.0341744,0.834536298,3.212152071,0.522426754,0.05374788,0.004155675,0.010615956,1.545531032,0.436935146,0.220098674,0.320215682,0.73286776,0.210649029,0.023783424,8.856968117,12.73352823,11.18270541,0.226649859,0.199046059,5.450956864,7.113401374,-19.23826574,246.4883366,31.92401778,2.716637375,0.049836147,0.20613418,0.545037955,0.603912166,0.1995,4.073343812,10.96275,27.79115,-3.618435162,0,1.489625,202.4525,NA,NA,NA,NA,NA
5/13/15,10000,0.1073,2.4415,0.001275888,0,0.006254769,0.001355689,0.120486572,0.00075993,0.007095486,0.185226382,0.094422308,0.00873528,0.005726518,0.189773825,0.006221186,0.032746979,0.001627513,0.030418871,0.000594979,0.030669633,0.00226523,0.009836408,0.001522173,0.042646158,0.009090373,0.002103592,0.001539251,0.007492482,0.090291452,0.004115331,0.013498546,0,0,0.003027221,0.000947711,0.067100358,0.002498014,0.002626381,0.002774493,0.008753193,0.002137278,0,302.4430271,0.509767058,1.648883021,0.74315294,0.040506041,0.006741713,0.012822004,0.928906196,0.535525229,0.176724719,0.270047224,0.504266111,0.214440848,0.009962365,21.52509374,6.620146091,4.98681041,0.21888903,0.164884291,NA,NA,-20.70319725,155.8823897,NA,0.632360792,0.129060189,0.138175452,0.677685262,0.0185,0.103,1.245,12.9966,27.68585,-3.144900832,0,1.712458333,177.021125,NA,NA,NA,NA,NA
5/21/15,9500,0.1282,2.5892,0.005013203,0,0.012187074,0,0.156191124,0,0.006465645,0.211034629,0.126850656,0.010774916,0.003916816,0.104750654,0.003963334,0.073865973,0,0.028248973,0,0.045488232,0,0.010888355,0,0.030129778,0,0,0,0,0.078343263,0.010619571,0,0,0,0,0,0.064921884,0,0,0,0.016345919,0,0,297.5418257,0.601089294,2.128592935,0.828684954,0.056376587,0.010619571,0.010382461,0.382435536,0.510178717,0.228965602,0.250080765,0.490182669,0.18428328,0,Inf,5.771787757,4.487091933,0.18428328,0.143265147,6.847727044,7.2969471,-21.13087843,190.2622305,39.19883564,0.404228543,0.147390227,0.167525186,0.909156779,0.2615,0.109,0.4915,15.16085,27.6177,-3.075725609,0,1.368604167,204.4696042,NA,NA,NA,NA,NA
5/26/15,8800,0.0688,1.9804,0.002466219,0,0.008814436,0.002031322,0.123905531,0.001929949,0.00809555,0.253841937,0.114597085,0.00974466,0.005913681,0.109034961,0.003304377,0.032889462,0.001175814,0.035272473,0,0.037781562,0.003900389,0.020554071,0.002263807,0.032370627,0.005440888,0.001525478,0,0.00506313,0.078170929,0.00681205,0.006711259,0,0,0.003055255,0,0.064452068,0.002226038,0.004045781,0.00317617,0.005499298,0.00298917,0,340.5421551,0.451450561,1.684810446,0.824501753,0.058335634,0.010857831,0.01400923,1.072455129,0.532628391,0.196101877,0.252515124,0.474092497,0.19860295,0.007326937,27.10586281,7.85083688,5.715153619,0.202874632,0.147686127,5.496643359,6.084637237,-21.60921292,182.7528907,24.5469642,0.327576003,0.177624606,0.193065421,0.896059261,0.13,0.109,3.016,15.85605,26.7555,-2.948459911,0,1.980416667,169.6342917,NA,NA,NA,NA,NA
